model_name,mae,Average_Prediction_for_1_Star,Average_Prediction_for_2_Star,Average_Prediction_for_3_Star,Average_Prediction_for_4_Star,Average_Prediction_for_5_Star,Prediction_Skewness_for_1_Star,Prediction_Skewness_for_2_Star,Prediction_Skewness_for_3_Star,Prediction_Skewness_for_4_Star,Prediction_Skewness_for_5_Star
2.0-Base-No-Reg-Swivel,0.7160536684428862,2.653691530227661,2.939772844314575,3.5855321884155273,4.273266792297363,4.579535961151123,0.3998830318450928,0.21423031389713287,-0.32619452476501465,-1.1538931131362915,-1.7919548749923706
2.1-Base-Reg-Swivel,0.6955374655025776,2.705801010131836,3.0026514530181885,3.627528667449951,4.3365254402160645,4.632693290710449,0.5152313709259033,0.37907636165618896,-0.19721132516860962,-1.150808572769165,-1.996942400932312
2.2-Base-No-Reg-Balance,1.6655095204207384,2.993847370147705,3.003030300140381,3.0008795261383057,3.0031023025512695,3.002368211746216,-2.4959285259246826,9.881012916564941,5.05466365814209,11.963007926940918,8.998409271240234
2.3-XGBOOST-Tfidf,0.755107354242966,2.709693670272827,3.122727155685425,3.665567398071289,4.193957328796387,4.490997791290283,0.14589060842990875,-0.21288366615772247,-0.6036391258239746,-0.9875350594520569,-1.2517755031585693
2.2-RNN-No-Reg-Balance-Swivel,1.6678700987624322,2.9993722438812256,3.0,2.9995603561401367,3.0,2.9994864463806152,-56.172882080078125,0.0,-67.43887329101562,0.0,-62.381446838378906
2.3-Base-Reg-Swivel-Balance,1.6686685296721226,2.9920895099639893,2.9962120056152344,2.9962620735168457,2.997302293777466,2.9972894191741943,-12.083724021911621,-16.164793014526367,-13.743244171142578,-14.556649208068848,-10.753791809082031
2.0-RNN-No-Reg-Swivel,0.732143786992519,2.6584630012512207,2.9530303478240967,3.609938383102417,4.296331405639648,4.568408012390137,0.4052836298942566,0.19520452618598938,-0.468583881855011,-1.3933145999908447,-2.1157779693603516
2.1-RNN-Reg-Bidirect-Swivel,0.6909378091750126,2.6190357208251953,2.924999952316284,3.621811866760254,4.333827972412109,4.635746479034424,0.4616771638393402,0.2901003062725067,-0.32602229714393616,-1.3025460243225098,-2.1177940368652344
2.0-GRU-No-Reg-Swivel,0.7251141235485047,2.598694086074829,2.9454545974731445,3.597405433654785,4.313865661621094,4.600422382354736,0.4170484244823456,0.13912293314933777,-0.5194522142410278,-1.5756651163101196,-2.4027302265167236
2.1-GRU-Reg-Bidirect-Swivel,0.6779719854893861,2.6113762855529785,2.913257598876953,3.619832992553711,4.357296943664551,4.668844699859619,0.6542186737060547,0.4630912244319916,-0.20739176869392395,-1.2959964275360107,-2.307525157928467
2.2-GRU-No-Reg-Balance-Swivel,1.6676097408570982,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0
2.1-LSTM-Reg-Bidirect-Swivel,0.6641556593130022,2.5887744426727295,2.923863649368286,3.6638083457946777,4.39627742767334,4.696321964263916,0.5614708662033081,0.36686405539512634,-0.36711952090263367,-1.4772295951843262,-2.566581964492798
2.0-LSTM-No-Reg-Swivel,0.7069411417562008,2.55625319480896,2.9041666984558105,3.56596302986145,4.243998050689697,4.571974754333496,0.43818238377571106,0.13370586931705475,-0.5095764398574829,-1.3681561946868896,-2.0816383361816406
2.3-RNN-Reg-Bidirect-Swivel-Balance,1.6676097408570982,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0
2.3-GRU-Reg-Bidirect-Swivel-Balance,1.6676270980507872,3.0,3.0,3.0,3.0001349449157715,2.9999430179595947,0.0,0.0,0.0,86.10457611083984,-132.3707275390625
2.2-LSTM-No-Reg-Balance-Swivel,1.668321385798344,2.996860980987549,2.9992423057556152,2.9978013038635254,2.999055862426758,2.998544692993164,-17.7674503326416,-36.311126708984375,-21.262657165527344,-32.50494384765625,-26.158279418945312
2.3-LSTM-Reg-Bidirect-Swivel-Balance,1.6676097408570982,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0
2.5-XGBOOST-Tfidf,0.7632652352767605,2.7523858547210693,3.168181896209717,3.681838274002075,4.198273658752441,4.4855194091796875,0.1124897375702858,-0.2653895914554596,-0.6242737770080566,-0.9726732969284058,-1.1725090742111206
2.4-XGBOOST-Tfidf-Balance,1.0678145557426275,2.3125314712524414,2.672727346420288,3.085092306137085,3.5639331340789795,3.7833194732666016,0.24700206518173218,0.073557548224926,-0.06858199089765549,-0.3515627384185791,-0.2306053191423416
